x-axis,F1
second,Volt
-51.90000E-03,
-51.86400E-03,-49.74E-06
-51.82800E-03,-49.74E-06
-51.79200E-03,-51.75E-06
-51.75600E-03,-31.73E-06
-51.72000E-03,-99.79E-06
-51.68400E-03,-95.79E-06
-51.64800E-03,+310E-09
-51.61200E-03,-21.72E-06
-51.57600E-03,+310E-09
-51.54000E-03,-19.71E-06
-51.50400E-03,-61.76E-06
-51.46800E-03,+310E-09
-51.43200E-03,-49.74E-06
-51.39600E-03,-37.73E-06
-51.36000E-03,+30.33E-06
-51.32400E-03,+310E-09
-51.28800E-03,+14.32E-06
-51.25200E-03,+44.35E-06
-51.21600E-03,+52.36E-06
-51.18000E-03,+40.34E-06
-51.14400E-03,+36.34E-06
-51.10800E-03,+50.35E-06
-51.07200E-03,+84.39E-06
-51.03600E-03,+16.32E-06
-51.00000E-03,+100.40E-06
-50.96400E-03,+50.35E-06
-50.92800E-03,+50.35E-06
-50.89200E-03,+24.33E-06
-50.85600E-03,+50.35E-06
-50.82000E-03,+100.40E-06
-50.78400E-03,+50.35E-06
-50.74800E-03,+50.35E-06
-50.71200E-03,+136.44E-06
-50.67600E-03,+100.40E-06
-50.64000E-03,+100.40E-06
-50.60400E-03,+138.44E-06
-50.56800E-03,+104.41E-06
-50.53200E-03,+100.40E-06
-50.49600E-03,+36.34E-06
-50.46000E-03,+100.40E-06
-50.42400E-03,+122.42E-06
-50.38800E-03,+150.45E-06
-50.35200E-03,+106.41E-06
-50.31600E-03,+197.08E-06
-50.28000E-03,+150.45E-06
-50.24400E-03,+164.86E-06
-50.20800E-03,+176.79E-06
-50.17200E-03,+182.68E-06
-50.13600E-03,+193.01E-06
-50.10000E-03,+150.45E-06
-50.06400E-03,+235.05E-06
-50.02800E-03,+217.13E-06
-49.99200E-03,+228.85E-06
-49.95600E-03,+168.69E-06
-49.92000E-03,+180.97E-06
-49.88400E-03,+152.48E-06
-49.84800E-03,+150.45E-06
-49.81200E-03,+164.64E-06
-49.77600E-03,+223.13E-06
-49.74000E-03,+201.11E-06
-49.70400E-03,+162.61E-06
-49.66800E-03,+201.11E-06
-49.63200E-03,+158.51E-06
-49.59600E-03,+201.11E-06
-49.56000E-03,+221.13E-06
-49.52400E-03,+301.21E-06
-49.48800E-03,+164.64E-06
-49.45200E-03,+207.12E-06
-49.41600E-03,+201.11E-06
-49.38000E-03,+291.20E-06
-49.34400E-03,+237.15E-06
-49.30800E-03,+249.16E-06
-49.27200E-03,+269.18E-06
-49.23600E-03,+251.16E-06
-49.20000E-03,+251.16E-06
-49.16400E-03,+259.17E-06
