x-axis,F1
second,Volt
-64.60000E-03,
-64.56400E-03,+360.54E-06
-64.52800E-03,+451.30E-06
-64.49200E-03,+401.92E-06
-64.45600E-03,+401.92E-06
-64.42000E-03,+375.22E-06
-64.38400E-03,+420.60E-06
-64.34800E-03,+441.29E-06
-64.31200E-03,+357.21E-06
-64.27600E-03,+446.63E-06
-64.24000E-03,+378.56E-06
-64.20400E-03,+380.56E-06
-64.16800E-03,+401.92E-06
-64.13200E-03,+527.16E-06
-64.09600E-03,+406.59E-06
-64.06000E-03,+355.20E-06
-64.02400E-03,+363.21E-06
-63.98800E-03,+401.92E-06
-63.95200E-03,+401.92E-06
-63.91600E-03,+401.92E-06
-63.88000E-03,+408.59E-06
-63.84400E-03,+401.92E-06
-63.80800E-03,+411.26E-06
-63.77200E-03,+451.97E-06
-63.73600E-03,+477.63E-06
-63.70000E-03,+451.97E-06
-63.66400E-03,+434.62E-06
-63.62800E-03,+352.53E-06
-63.59200E-03,+401.92E-06
-63.55600E-03,+417.26E-06
-63.52000E-03,+455.63E-06
-63.48400E-03,+433.28E-06
-63.44800E-03,+423.40E-06
-63.41200E-03,+449.30E-06
-63.37600E-03,+367.95E-06
-63.34000E-03,+489.12E-06
-63.30400E-03,+473.58E-06
-63.26800E-03,+481.69E-06
-63.23200E-03,+389.24E-06
-63.19600E-03,+411.32E-06
-63.16000E-03,+448.63E-06
-63.12400E-03,+413.26E-06
-63.08800E-03,+401.92E-06
-63.05200E-03,+474.93E-06
-63.01600E-03,+401.92E-06
-62.98000E-03,+401.92E-06
-62.94400E-03,+451.97E-06
-62.90800E-03,+411.26E-06
-62.87200E-03,+369.22E-06
-62.83600E-03,+401.92E-06
-62.80000E-03,+451.97E-06
-62.76400E-03,+443.29E-06
-62.72800E-03,+451.30E-06
-62.69200E-03,+401.92E-06
-62.65600E-03,+502.62E-06
-62.62000E-03,+425.27E-06
-62.58400E-03,+370.55E-06
-62.54800E-03,+451.97E-06
-62.51200E-03,+404.59E-06
-62.47600E-03,+497.22E-06
-62.44000E-03,+465.47E-06
-62.40400E-03,+451.97E-06
-62.36800E-03,+431.28E-06
-62.33200E-03,+414.60E-06
-62.29600E-03,+401.92E-06
-62.26000E-03,+401.92E-06
-62.22400E-03,+390.57E-06
-62.18800E-03,+371.22E-06
-62.15200E-03,+351.87E-06
-62.11600E-03,+437.28E-06
-62.08000E-03,+345.11E-06
-62.04400E-03,+349.18E-06
-62.00800E-03,+342.41E-06
-61.97200E-03,+301.21E-06
-61.93600E-03,+275.85E-06
-61.90000E-03,+351.87E-06
-61.86400E-03,+351.87E-06
-61.82800E-03,+300.54E-06
-61.79200E-03,+301.21E-06
-61.75600E-03,+266.51E-06
-61.72000E-03,+351.87E-06
-61.68400E-03,+314.27E-06
-61.64800E-03,+312.02E-06
-61.61200E-03,+349.17E-06
-61.57600E-03,+217.19E-06
-61.54000E-03,+325.01E-06
-61.50400E-03,+243.82E-06
-61.46800E-03,+322.15E-06
-61.43200E-03,+238.48E-06
-61.39600E-03,+255.83E-06
-61.36000E-03,+348.49E-06
-61.32400E-03,+273.99E-06
-61.28800E-03,+262.50E-06
-61.25200E-03,+273.85E-06
-61.21600E-03,+301.21E-06
-61.18000E-03,+244.49E-06
-61.14400E-03,+251.16E-06
-61.10800E-03,+251.16E-06
-61.07200E-03,+268.51E-06
-61.03600E-03,+200.13E-06
-61.00000E-03,+267.84E-06
-60.96400E-03,+259.83E-06
-60.92800E-03,+251.16E-06
-60.89200E-03,+251.16E-06
-60.85600E-03,+235.81E-06
-60.82000E-03,+251.16E-06
-60.78400E-03,+219.80E-06
-60.74800E-03,+190.30E-06
-60.71200E-03,+203.78E-06
-60.67600E-03,+251.16E-06
-60.64000E-03,+214.46E-06
-60.60400E-03,+201.11E-06
-60.56800E-03,+201.11E-06
-60.53200E-03,+213.79E-06
-60.49600E-03,+246.49E-06
-60.46000E-03,+201.11E-06
-60.42400E-03,+161.93E-06
-60.38800E-03,+189.39E-06
-60.35200E-03,+150.45E-06
-60.31600E-03,+201.11E-06
-60.28000E-03,+201.11E-06
-60.24400E-03,+151.80E-06
-60.20800E-03,+141.11E-06
-60.17200E-03,+201.11E-06
-60.13600E-03,+175.44E-06
-60.10000E-03,+150.45E-06
-60.06400E-03,+201.11E-06
-60.02800E-03,+99.74E-06
-59.99200E-03,+186.34E-06
-59.95600E-03,+150.45E-06
-59.92000E-03,+100.40E-06
-59.88400E-03,+131.77E-06
-59.84800E-03,+50.35E-06
-59.81200E-03,+198.41E-06
-59.77600E-03,+100.40E-06
-59.74000E-03,+100.40E-06
-59.70400E-03,+71.71E-06
-59.66800E-03,+129.76E-06
-59.63200E-03,+100.40E-06
-59.59600E-03,+100.40E-06
-59.56000E-03,+150.45E-06
-59.52400E-03,+123.23E-06
-59.48800E-03,+81.05E-06
-59.45200E-03,+27.67E-06
-59.41600E-03,+115.08E-06
-59.38000E-03,+143.78E-06
-59.34400E-03,+4.31E-06
-59.30800E-03,+91.06E-06
-59.27200E-03,+67.70E-06
-59.23600E-03,+50.35E-06
-59.20000E-03,+33.67E-06
-59.16400E-03,+67.70E-06
-59.12800E-03,+50.35E-06
-59.09200E-03,+310E-09
-59.05600E-03,+50.35E-06
-59.02000E-03,+103.74E-06
-58.98400E-03,+69.04E-06
-58.94800E-03,+50.35E-06
-58.91200E-03,+310E-09
-58.87600E-03,-5.03E-06
-58.84000E-03,+63.70E-06
-58.80400E-03,+50.35E-06
-58.76800E-03,+100.40E-06
-58.73200E-03,+12.98E-06
-58.69600E-03,+310E-09
-58.66000E-03,-49.74E-06
-58.62400E-03,+11.65E-06
-58.58800E-03,-30.39E-06
-58.55200E-03,+27.67E-06
-58.51600E-03,+85.72E-06
-58.48000E-03,+6.98E-06
-58.44400E-03,+99.07E-06
-58.40800E-03,+50.35E-06
-58.37200E-03,+33.00E-06
-58.33600E-03,+310E-09
-58.30000E-03,+16.99E-06
-58.26400E-03,+41.68E-06
