x-axis,F1
second,Volt
-3.130000E+00,+2.283E-03
-3.127500E+00,+109E-06
-3.125000E+00,+402E-06
-3.122500E+00,+2.490E-03
-3.120000E+00,+5.175E-03
-3.117500E+00,+7.289E-03
-3.115000E+00,+7.605E-03
-3.112500E+00,+5.572E-03
-3.110000E+00,+2.231E-03
-3.107500E+00,-159E-06
-3.105000E+00,+75E-06
-3.102500E+00,+2.335E-03
-3.100000E+00,+5.361E-03
-3.097500E+00,+7.328E-03
-3.095000E+00,+7.058E-03
-3.092500E+00,+5.148E-03
-3.090000E+00,+1.036E-03
-3.087500E+00,-892E-06
-3.085000E+00,-854E-06
-3.082500E+00,+1.679E-03
-3.080000E+00,+5.066E-03
-3.077500E+00,+7.108E-03
-3.075000E+00,+6.667E-03
-3.072500E+00,+4.790E-03
-3.070000E+00,+1.741E-03
-3.067500E+00,+3E-06
-3.065000E+00,+85E-06
-3.062500E+00,+1.857E-03
-3.060000E+00,+5.345E-03
-3.057500E+00,+7.317E-03
-3.055000E+00,+7.193E-03
-3.052500E+00,+4.992E-03
-3.050000E+00,+2.249E-03
-3.047500E+00,+498E-06
-3.045000E+00,+348E-06
-3.042500E+00,+2.442E-03
-3.040000E+00,+5.358E-03
-3.037500E+00,+7.099E-03
-3.035000E+00,+7.207E-03
-3.032500E+00,+5.137E-03
-3.030000E+00,+2.135E-03
-3.027500E+00,+211E-06
-3.025000E+00,+212E-06
-3.022500E+00,+2.568E-03
-3.020000E+00,+5.434E-03
-3.017500E+00,+7.322E-03
-3.015000E+00,+7.588E-03
-3.012500E+00,+5.101E-03
-3.010000E+00,+2.160E-03
-3.007500E+00,+215E-06
-3.005000E+00,+11E-06
-3.002500E+00,+2.395E-03
-3.000000E+00,+5.472E-03
-2.997500E+00,+7.398E-03
-2.995000E+00,+7.303E-03
-2.992500E+00,+4.757E-03
-2.990000E+00,+2.028E-03
-2.987500E+00,+131E-06
-2.985000E+00,+63E-06
-2.982500E+00,+2.562E-03
-2.980000E+00,+5.428E-03
-2.977500E+00,+7.375E-03
-2.975000E+00,+7.379E-03
-2.972500E+00,+4.803E-03
-2.970000E+00,+1.809E-03
-2.967500E+00,+239E-06
-2.965000E+00,+482E-06
-2.962500E+00,+2.330E-03
-2.960000E+00,+5.107E-03
-2.957500E+00,+6.889E-03
-2.955000E+00,+6.998E-03
-2.952500E+00,+4.894E-03
-2.950000E+00,+2.189E-03
-2.947500E+00,+27E-06
-2.945000E+00,-31E-06
-2.942500E+00,+2.516E-03
-2.940000E+00,+5.494E-03
-2.937500E+00,+7.178E-03
-2.935000E+00,+7.370E-03
-2.932500E+00,+5.295E-03
-2.930000E+00,+2.069E-03
-2.927500E+00,-48E-06
-2.925000E+00,-69E-06
-2.922500E+00,+2.097E-03
-2.920000E+00,+5.163E-03
-2.917500E+00,+7.747E-03
-2.915000E+00,+7.410E-03
-2.912500E+00,+4.819E-03
-2.910000E+00,+1.876E-03
-2.907500E+00,+273E-06
-2.905000E+00,+185E-06
-2.902500E+00,+2.366E-03
-2.900000E+00,+5.382E-03
-2.897500E+00,+7.305E-03
-2.895000E+00,+7.397E-03
-2.892500E+00,+4.824E-03
-2.890000E+00,+1.837E-03
-2.887500E+00,+71E-06
-2.885000E+00,+504E-06
-2.882500E+00,+2.727E-03
-2.880000E+00,+5.411E-03
-2.877500E+00,+7.294E-03
-2.875000E+00,+7.380E-03
-2.872500E+00,+5.225E-03
-2.870000E+00,+2.163E-03
-2.867500E+00,+147E-06
-2.865000E+00,-5E-06
-2.862500E+00,+2.239E-03
-2.860000E+00,+5.350E-03
-2.857500E+00,+7.090E-03
-2.855000E+00,+7.207E-03
-2.852500E+00,+5.163E-03
-2.850000E+00,+2.139E-03
-2.847500E+00,-20E-06
-2.845000E+00,-403E-06
-2.842500E+00,+2.229E-03
-2.840000E+00,+5.370E-03
-2.837500E+00,+7.320E-03
-2.835000E+00,+7.455E-03
-2.832500E+00,+4.837E-03
-2.830000E+00,+1.974E-03
-2.827500E+00,-795E-06
-2.825000E+00,-863E-06
-2.822500E+00,+3.257E-03
-2.820000E+00,+5.398E-03
-2.817500E+00,+5.771E-03
-2.815000E+00,+5.801E-03
-2.812500E+00,+3.765E-03
-2.810000E+00,+1.418E-03
-2.807500E+00,-176E-06
-2.805000E+00,-144E-06
-2.802500E+00,-2.099E-03
-2.800000E+00,+1.888E-03
-2.797500E+00,+4.501E-03
-2.795000E+00,+3.331E-03
-2.792500E+00,+2.132E-03
-2.790000E+00,-2.667E-03
-2.787500E+00,-2.509E-03
-2.785000E+00,-907E-06
-2.782500E+00,+3.598E-03
-2.780000E+00,+6.273E-03
-2.777500E+00,+7.755E-03
-2.775000E+00,+7.731E-03
-2.772500E+00,+5.036E-03
-2.770000E+00,+2.146E-03
-2.767500E+00,+563E-06
-2.765000E+00,-3.286E-03
-2.762500E+00,+953E-06
-2.760000E+00,+4.512E-03
-2.757500E+00,+4.111E-03
-2.755000E+00,+5.486E-03
-2.752500E+00,+3.809E-03
-2.750000E+00,+1.506E-03
-2.747500E+00,-312E-06
-2.745000E+00,-724E-06
-2.742500E+00,+2.687E-03
