x-axis,F1
second,Volt
-385.2600E-06,+10.6483204E-03
-384.7600E-06,+10.9949843E-03
-384.2600E-06,+9.9230178E-03
-383.7600E-06,+9.8280784E-03
-383.2600E-06,+10.0898298E-03
-382.7600E-06,+9.7490317E-03
-382.2600E-06,+10.4434938E-03
-381.7600E-06,+10.2545128E-03
-381.2600E-06,+9.9970552E-03
-380.7600E-06,+10.5946583E-03
-380.2600E-06,+10.6949959E-03
-379.7600E-06,+10.1435938E-03
-379.2600E-06,+10.0423256E-03
-378.7600E-06,+9.8957304E-03
-378.2600E-06,+9.9324431E-03
-377.7600E-06,+10.0736775E-03
-377.2600E-06,+10.0841071E-03
-376.7600E-06,+9.9974671E-03
-376.2600E-06,+10.2633372E-03
-375.7600E-06,+10.6349143E-03
-375.2600E-06,+10.9590418E-03
-374.7600E-06,+9.9000479E-03
-374.2600E-06,+9.8254195E-03
-373.7600E-06,+10.1351312E-03
-373.2600E-06,+9.8147454E-03
-372.7600E-06,+10.4554665E-03
-372.2600E-06,+10.3114068E-03
-371.7600E-06,+10.0223619E-03
-371.2600E-06,+10.5470856E-03
-370.7600E-06,+10.6548540E-03
-370.2600E-06,+10.1217208E-03
-369.7600E-06,+9.8407555E-03
-369.2600E-06,+9.9253778E-03
-368.7600E-06,+9.7757183E-03
-368.2600E-06,+10.1222459E-03
-367.7600E-06,+10.0780350E-03
-367.2600E-06,+9.8940565E-03
-366.7600E-06,+10.2421730E-03
-366.2600E-06,+10.6048856E-03
-365.7600E-06,+10.9647558E-03
-365.2600E-06,+9.9106766E-03
-364.7600E-06,+9.7261837E-03
-364.2600E-06,+10.1438221E-03
-363.7600E-06,+9.7853503E-03
-363.2600E-06,+10.3542678E-03
-362.7600E-06,+10.2411057E-03
-362.2600E-06,+10.0442222E-03
-361.7600E-06,+10.4935665E-03
-361.2600E-06,+10.6456946E-03
-360.7600E-06,+10.0577246E-03
-360.2600E-06,+9.8754547E-03
-359.7600E-06,+9.9183222E-03
-359.2600E-06,+9.6650954E-03
-358.7600E-06,+10.1291865E-03
-358.2600E-06,+10.1297627E-03
-357.7600E-06,+9.9456967E-03
-357.2600E-06,+10.1905815E-03
-356.7600E-06,+10.6164928E-03
-356.2600E-06,+10.8816383E-03
-355.7600E-06,+9.9031894E-03
-355.2600E-06,+9.7283679E-03
-354.7600E-06,+10.0126784E-03
-354.2600E-06,+9.7917082E-03
-353.7600E-06,+10.3185004E-03
-353.2600E-06,+10.1778179E-03
-352.7600E-06,+10.0683089E-03
-352.2600E-06,+10.5411010E-03
-351.7600E-06,+10.5762771E-03
-351.2600E-06,+9.9980506E-03
-350.7600E-06,+9.7172956E-03
-350.2600E-06,+9.9256156E-03
-349.7600E-06,+9.8008171E-03
-349.2600E-06,+9.9342698E-03
-348.7600E-06,+10.1426503E-03
-348.2600E-06,+9.8806673E-03
-347.7600E-06,+10.1658104E-03
-347.2600E-06,+10.5539050E-03
-346.7600E-06,+10.8575292E-03
-346.2600E-06,+9.9085751E-03
-345.7600E-06,+9.8071870E-03
-345.2600E-06,+10.0300663E-03
-344.7600E-06,+9.7764237E-03
-344.2600E-06,+10.4688404E-03
-343.7600E-06,+10.1588288E-03
-343.2600E-06,+10.0314536E-03
-342.7600E-06,+10.5413138E-03
-342.2600E-06,+10.6421324E-03
-341.7600E-06,+10.0155938E-03
-341.2600E-06,+9.6644681E-03
-340.7600E-06,+9.9665893E-03
-340.2600E-06,+9.8274250E-03
